day,dsa
2017-08-27 0:00,4354.308333
2017-08-28 0:00,4391.673517
2017-08-29 0:00,4607.98545
2017-08-30 0:00,4594.98785
2017-08-31 0:00,4748.255
2017-09-01 0:00,4911.740017
2017-09-02 0:00,4580.38748
2017-09-03 0:00,4648.159983
2017-09-04 0:00,4344.098317
2017-09-05 0:00,4488.72014
2017-09-06 0:00,4641.822017
2017-09-07 0:00,4654.6585
2017-09-08 0:00,4310.750183
2017-09-09 0:00,4375.55952
2017-09-10 0:00,4329.955
2017-09-11 0:00,4248.090017
2017-09-12 0:00,4219.036617
2017-09-13 0:00,3961.271267
2017-09-14 0:00,3319.63
2017-09-15 0:00,3774.265283
2017-09-16 0:00,3763.62604
2017-09-17 0:00,3746.060783
2017-09-18 0:00,4093.316667
2017-09-19 0:00,3943.413333
2017-09-20 0:00,3977.561667
2017-09-21 0:00,3658.898183
2017-09-22 0:00,3637.50255
2017-09-23 0:00,3776.3869
2017-09-24 0:00,3703.04065
2017-09-25 0:00,3942.555
2017-09-26 0:00,3910.307383
2017-09-27 0:00,4202.554983
2017-09-28 0:00,4201.98905
2017-09-29 0:00,4193.574667
2017-09-30 0:00,4335.368317
2017-10-01 0:00,4360.722967
2017-10-02 0:00,4386.88375
2017-10-03 0:00,4293.3066
2017-10-04 0:00,4225.175
2017-10-05 0:00,4338.852
2017-10-06 0:00,4345.603333
2017-10-07 0:00,4376.191667
2017-10-08 0:00,4602.280883
2017-10-09 0:00,4777.967817
2017-10-10 0:00,4782.28
2017-10-11 0:00,4819.485767
2017-10-12 0:00,5325.130683
2017-10-13 0:00,5563.806567
2017-10-14 0:00,5739.438733
2017-10-15 0:00,5647.311667
2017-10-16 0:00,5711.205867
2017-10-17 0:00,5603.71294
2017-10-18 0:00,5546.1761
2017-10-19 0:00,5727.6335
2017-10-20 0:00,5979.45984
2017-10-21 0:00,6020.371683
2017-10-22 0:00,5983.18455
2017-10-23 0:00,5876.079867
2017-10-24 0:00,5505.827767
2017-10-25 0:00,5669.622533
2017-10-26 0:00,5893.138417
2017-10-27 0:00,5772.504983
2017-10-28 0:00,5776.69695
2017-10-29 0:00,6155.43402
2017-10-30 0:00,6105.87422
2017-10-31 0:00,6388.645167
2017-11-01 0:00,6665.306683
2017-11-02 0:00,7068.0201
2017-11-03 0:00,7197.72006
2017-11-04 0:00,7437.543317
2017-11-05 0:00,7377.012367
2017-11-06 0:00,6989.071667
2017-11-07 0:00,7092.127233
2017-11-08 0:00,7415.87825
2017-11-09 0:00,7158.03706
2017-11-10 0:00,6719.39785
2017-11-11 0:00,6362.851033
2017-11-12 0:00,5716.301583
2017-11-13 0:00,6550.227533
2017-11-14 0:00,6635.412633
2017-11-15 0:00,7301.42992
2017-11-16 0:00,7815.0307
2017-11-17 0:00,7786.884367
2017-11-18 0:00,7817.140383
2017-11-19 0:00,8007.654067
2017-11-20 0:00,8255.596817
2017-11-21 0:00,8059.8
2017-11-22 0:00,8268.035
2017-11-23 0:00,8148.95
2017-11-24 0:00,8250.978333
2017-11-25 0:00,8707.407267
2017-11-26 0:00,9284.1438
2017-11-27 0:00,9718.29505
2017-11-28 0:00,9952.50882
2017-11-29 0:00,9879.328333
2017-11-30 0:00,10147.372
2017-12-01 0:00,10883.912
2017-12-02 0:00,11071.36833
2017-12-03 0:00,11332.622
2017-12-04 0:00,11584.83
2017-12-05 0:00,11878.43333
2017-12-06 0:00,13540.98
2017-12-07 0:00,16501.97167
2017-12-08 0:00,16007.43667
2017-12-09 0:00,15142.83415
2017-12-10 0:00,14869.805
2017-12-11 0:00,16762.11667
2017-12-12 0:00,17276.39333
2017-12-13 0:00,16808.36667
2017-12-14 0:00,16678.892
2017-12-15 0:00,17771.9
2017-12-16 0:00,19498.68333
2017-12-17 0:00,19289.785
2017-12-18 0:00,18961.85667
2017-12-19 0:00,17737.11167
2017-12-20 0:00,16026.27167
2017-12-21 0:00,16047.51
2017-12-22 0:00,15190.945
2017-12-23 0:00,15360.26167
2017-12-24 0:00,13949.175
2017-12-25 0:00,14119.02833
2017-12-26 0:00,15999.04833
2017-12-27 0:00,15589.32167
2017-12-28 0:00,14380.58167
2017-12-29 0:00,14640.14
2017-12-30 0:00,13215.574
2017-12-31 0:00,14165.575
2018-01-01 0:00,13812.18667
2018-01-02 0:00,15005.85667
2018-01-03 0:00,15053.26167
